route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
10,Anchorage People Mover,10,Northern Lights,3,http://www.muni.org/Departments/transit/PeopleMover/Pages/route10schedule.aspx,28B04B,FFFFFF
20,Anchorage People Mover,20,Mountain View,3,http://www.muni.org/Departments/transit/PeopleMover/Pages/route20schedule.aspx,D5B331,FFFFFF
30,Anchorage People Mover,30,Debarr,3,http://www.muni.org/Departments/transit/PeopleMover/Pages/route30schedule.aspx,F7ACA4,2F2F2F
40,Anchorage People Mover,40,Spenard / Airport,3,http://www.muni.org/Departments/transit/PeopleMover/Pages/route40schedule.aspx,ABA2BF,FFFFFF
25,Anchorage People Mover,25,Tudor,3,http://www.muni.org/Departments/transit/PeopleMover/Pages/route25schedule.aspx,A3BB3B,FFFFFF
35,Anchorage People Mover,35,Arctic,3,http://www.muni.org/Departments/transit/PeopleMover/Pages/route35schedule.aspx,F59424,FFFFFF
55,Anchorage People Mover,55,Lake Otis,3,http://www.muni.org/Departments/transit/PeopleMover/Pages/route55schedule.aspx,DF3C40,FFFFFF
65,Anchorage People Mover,65,Jewel Lake,3,http://www.muni.org/Departments/transit/PeopleMover/Pages/route65schedule.aspx,248BCB,FFFFFF
11,Anchorage People Mover,11,Gov't Hill / Fairview,3,http://www.muni.org/Departments/transit/PeopleMover/Pages/route11schedule.aspx,4EC4BA,FFFFFF
21,Anchorage People Mover,21,Mtn View / Northway Mall,3,http://www.muni.org/Departments/transit/PeopleMover/Pages/route21schedule.aspx,B3932F,FFFFFF
31,Anchorage People Mover,31,Northeast,3,http://www.muni.org/Departments/transit/PeopleMover/Pages/route31schedule.aspx,816CB0,FFFFFF
91,Anchorage People Mover,91,Huffman,3,http://www.muni.org/Departments/transit/PeopleMover/Pages/route91schedule.aspx,B66F35,FFFFFF
92,Anchorage People Mover,92,Eagle River,3,http://www.muni.org/Departments/transit/PeopleMover/Pages/route92schedule.aspx,272F6E,FFFFFF
