stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,bt_id
0788,0788,CENTENNIAL VILLAGE,61.22535,-149.714437,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1442,1442
3024,3024,AIRPORT SOUTH TERMINAL STOP 2,61.173144,-149.979292,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1448,1448
1017,1017,HUFFMAN BUSINESS PARK,61.110207,-149.857457,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1470,1470
1951,1951,MULDOON & DEBARR EAST,61.210862,-149.73323,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1473,1473
1084,1084,MULDOON & DEBARR WEST,61.209295,-149.733821,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1474,1474
2051,2051,DOWNTOWN TRANSIT CENTER,61.216553,-149.896764,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1477,1477
1223,1223,PROVIDENCE & ALUMNI,61.189969,-149.8169,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=2787,2787
1755,1755,BOUNDARY & BONIFACE,61.223304,-149.777366,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1482,1482
1863,1863,EAGLE RIVER TRANSIT CENTER,61.327765,-149.573677,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1490,1490
0057,0057,DIMOND TRANSIT CENTER,61.142764,-149.871953,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1494,1494
0002,0002,6TH AVENUE & C STREET ESE,61.216517,-149.886091,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=2788,2788
0003,0003,C STREET & 7TH AVENUE SSW,61.215198,-149.887511,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=2840,2840
0004,0004,C STREET & 10TH AVENUE SSW,61.212407,-149.887517,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1499,1499
0005,0005,C STREET & 12TH AVENUE SSW,61.210297,-149.887484,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1500,1500
0006,0006,C STREET & 14TH AVENUE NNW,61.20868,-149.887494,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1501,1501
0007,0007,C STREET & 16TH AVENUE SSW,61.20577,-149.887536,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1502,1502
0008,0008,C STREET & 19TH AVENUE NNW,61.203688,-149.887627,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1503,1503
0009,0009,C STREET & 22ND AVENUE NNW,61.20084,-149.88753,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1504,1504
0010,0010,C STREET & FIREWEED SSW,61.197747,-149.88703,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1505,1505
0011,0011,C STREET & BENSON NNW,61.194452,-149.886782,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1506,1506
0012,0012,C STREET & 31ST AVENUE NNW,61.19271,-149.886782,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1507,1507
0023,0023,LAKE OTIS & 36TH AVENUE SSW,61.187323,-149.838461,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1517,1517
0026,0026,LAKE OTIS & TUDOR SSW,61.179662,-149.838407,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1520,1520
0029,0029,LAKE OTIS & 54TH AVENUE SSW,61.171577,-149.838337,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1523,1523
0031,0031,LAKE OTIS & DOWLING SSW,61.165866,-149.838429,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1525,1525
0033,0033,LAKE OTIS & 68TH AVENUE SSW,61.158822,-149.834451,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1527,1527
0035,0035,LAKE OTIS & LORE SSW,61.151458,-149.834421,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1529,1529
0037,0037,LAKE OTIS & 85TH AVENUE NNW,61.14402,-149.834352,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1531,1531
