gtfs_id,bustracker_id
1010,2082
1023,2092
1024,2093
1011,2083
1022,2091
1007,2079
1009,2081
1008,2080
1026,2095
1025,2094
1027,2096
1006,2078
1021,2090
1012,2084
1028,2097
1005,2077
1004,2076
1030,2099
1020,2089
1003,2075
1031,2100
1476,2324
1014,2086
1015,2087
1579,2332
1002,2074
1032,2101
1017,1470
1001,2073
1033,2102
3536,2537
1034,2103
3535,2536
1000,2072
1556,2325
1575,2331
1557,2326
1574,2330
3534,2535
65,1550
50,1540
51,1541
66,1551
49,1539
48,1538
3588,2589
67,1552
54,2777
64,1549
47,1537
68,1553
52,1542
46,1536
69,1554
63,1548
45,1535
3050,2507
70,1555
44,1534
71,1556
60,1545
72,1557
62,1547
43,1533
1561,2327
3091,2517
61,1546
3031,2500
177,1620
1635,2334
2180,2483
1619,2333
195,1627
55,1544
75,1558
180,1622
2104,2482
167,1619
194,1626
3561,2562
2181,2484
3545,2546
3051,2508
38,1532
2103,2481
162,1614
3546,2547
164,1616
3687,2644
166,1618
1564,2329
165,1617
163,1615
198,1629
199,1630
201,1632
200,1631
202,1633
3630,2616
193,1625
76,1559
210,1634
2182,2485
57,1494
3543,2544
3544,2545
3584,2585
77,1560
2102,2480
37,1531
992,2071
683,1901
2100,2479
212,1635
991,2070
684,1902
685,1903
159,1613
191,1624
682,1900
3541,2542
189,1623
694,1904
3542,2543
987,2069
2203,2756
1563,2328
158,1612
213,1636
36,1530
3539,2540
78,1561
3540,2541
986,2068
1045,2104
680,1899
214,1637
696,1905
157,1611
3538,2539
3537,2538
984,2795
35,1529
156,1610
679,1898
3579,2580
3581,2582
3583,2584
3582,2583
3580,2581
3576,2577
3577,2578
3575,2576
3578,2579
215,1638
697,1906
79,1562
1046,2105
155,1609
216,1609
678,1897
698,1907
983,2066
1047,2106
34,1528
699,1908
80,1563
217,1640
3035,2503
677,1896
982,2065
700,1909
154,1608
1048,2107
676,1895
981,2064
33,1527
218,1641
219,1642
220,1643
151,1607
149,1606
3587,2588
81,1564
